% CIRIMS 2 onboard the R/V Thomas G. Thompson, Guam to Japan 3/15/04 to 4/17/04   
% Andy Jessup, Applied Physics Laboratory, University of Washington 
% Version 1.0  Release date: 10/8/04
sst	decimal_yd	delta_T	t_2_m	t_3_m	t_air	t_sky	latitude	longitude
28.04	75.356	0.09	28.14	28.14	27.53	1.47	13.455	144.65
28.03	75.36003	0.1	28.12	28.12	27.43	1.32	13.453	144.634
27.98	75.36407	0.11	28.09	28.09	27.32	2.95	13.451	144.617
27.95	75.36813	0.05	28	28	27.35	3.11	13.447	144.6
27.81	75.37682	0.21	28.02	28.02	27.29	1.13	13.427	144.565
27.95	75.38086	0.07	28.02	28.02	27.32	1.42	13.413	144.551
28	75.38491	0.04	28.03	28.03	27.34	1.72	13.4	144.537
27.99	75.38896	0.06	28.05	28.05	27.4	1.56	13.388	144.525
27.97	75.39765	0.08	28.05	28.05	27.45	2.19	13.362	144.5
27.94	75.40169	0.1	28.05	28.05	27.45	6.96	13.357	144.495
28.03	75.40574	0.02	28.06	28.05	27.52	3.85	13.356	144.494
27.96	75.40979	0.09	28.05	28.05	27.48	17.14	13.356	144.494
27.98	75.41848	0.07	28.05	28.05	27.48	4.42	13.356	144.494
28.01	75.42252	0.04	28.05	28.05	27.48	6.45	13.356	144.494
27.97	75.42657	0.07	28.05	28.05	27.48	5.46	13.356	144.494
27.93	75.43063	0.12	28.05	28.05	27.46	5.38	13.356	144.494
28.03	75.43932	0.02	28.05	28.04	27.43	4.77	13.356	144.494
28.08	75.44336	-0.04	28.05	28.04	27.39	4.68	13.356	144.494
28.06	75.44741	-0.01	28.05	28.04	27.37	4.75	13.356	144.494
28.03	75.45146	0.01	28.04	28.04	27.36	5.27	13.356	144.494
27.96	75.46015	0.07	28.04	28.03	27.38	16.76	13.356	144.494
28.01	75.46419	0.03	28.04	28.04	27.37	19.5	13.356	144.494
28.05	75.46824	-0.01	28.04	28.04	27.29	22.64	13.356	144.494
27.99	75.47229	0.04	28.05	28.04	27.27	17.52	13.356	144.494
28.16	75.481	-0.12	28.04	28.03	27.35	2.72	13.357	144.496
28.03	75.48503	0	28.04	28.03	27.37	2.11	13.357	144.496
28.03	75.48907	0	28.04	28.03	27.34	2.24	13.357	144.496
28.03	75.49313	0	28.03	28.03	27.41	2.63	13.357	144.496
27.99	75.50182	0.04	28.04	28.03	27.55	3.92	13.354	144.496
27.96	75.50586	0.09	28.04	28.05	27.57	4.32	13.347	144.487
28.08	75.50991	-0.01	28.06	28.06	27.46	4.2	13.338	144.472
27.96	75.51396	0.09	28.04	28.05	27.47	5.34	13.329	144.453
28.03	75.52265	0.02	28.04	28.04	27.47	5.88	13.308	144.414
27.99	75.52669	0.06	28.05	28.05	27.45	5.19	13.298	144.396
28.09	75.53074	-0.03	28.05	28.05	27.43	5.48	13.288	144.377
28.03	75.53479	0.02	28.05	28.05	27.41	10.29	13.279	144.359
28	75.5435	0.03	28.03	28.04	27.49	7.15	13.259	144.32
28.02	75.54753	0.01	28.02	28.02	27.48	4.91	13.25	144.302
27.98	75.55157	0.05	28.03	28.03	27.56	3.71	13.241	144.283
27.96	75.55563	0.06	28.02	28.03	27.59	2.89	13.232	144.265
28	75.56432	0.03	28.03	28.03	27.61	3.49	13.213	144.224
27.97	75.56837	0.06	28.03	28.03	27.65	4.17	13.204	144.204
28	75.57241	0.04	28.03	28.04	27.6	4.19	13.195	144.185
28.02	75.57646	0.02	28.04	28.04	27.53	4.12	13.186	144.166
28	75.58515	0.04	28.04	28.05	27.45	3.79	13.168	144.125
28.05	75.58919	0	28.05	28.06	27.42	2.29	13.16	144.106
28.09	75.59324	-0.05	28.04	28.05	27.44	-2.13	13.152	144.087
28.03	75.59729	0.01	28.04	28.04	27.43	-2.84	13.143	144.068
27.96	75.60598	0.09	28.04	28.04	27.43	-3.81	13.125	144.029
28	75.61002	0.05	28.04	28.05	27.48	-4.85	13.117	144.01
28.01	75.61407	0.04	28.04	28.05	27.42	-5.09	13.108	143.992
27.99	75.61813	0.05	28.04	28.04	27.35	0.28	13.1	143.973
28	75.62682	0.02	28.02	28.02	27.3	-3.64	13.082	143.933
27.96	75.63086	0.05	28.01	28.01	27.35	-1.6	13.074	143.914
28.01	75.63491	0	28.01	28.02	27.4	-2.79	13.066	143.895
27.88	75.63896	0.14	28.02	28.03	27.44	8.55	13.057	143.876
27.81	75.64765	0.22	28.03	28.03	27.5	22.16	13.039	143.836
27.99	75.65169	0.04	28.03	28.03	27.55	3.44	13.03	143.817
27.98	75.65574	0.06	28.04	28.04	27.61	-2.01	13.02	143.798
28.08	75.65979	-0.04	28.03	28.04	27.67	3.2	13.009	143.781
27.88	75.6685	0.16	28.04	28.04	27.66	16.24	12.986	143.744
27.98	75.67253	0.06	28.04	28.04	27.68	23	12.975	143.726
27.9	75.67657	0.13	28.03	28.04	27.67	24.24	12.964	143.709
27.87	75.68063	0.17	28.03	28.03	27.62	22.65	12.952	143.693
27.96	75.68932	0.06	28.02	28.03	27.73	17.73	12.926	143.659
28.06	75.69336	-0.04	28.02	28.02	27.59	11.93	12.919	143.651
28.01	75.69741	0.01	28.02	28.02	26.99	22.27	12.918	143.649
27.95	75.70146	0.07	28.02	28.02	27.33	20.65	12.918	143.648
28.04	75.71015	-0.03	28.02	28.02	27.59	12.68	12.919	143.65
28.05	75.71419	-0.03	28.02	28.02	27.55	18.87	12.919	143.65
28.09	75.71824	-0.07	28.02	28.02	27.57	10.48	12.919	143.65
28.1	75.72229	-0.08	28.01	28.01	27.52	-4.51	12.919	143.651
28.13	75.73098	-0.12	28.01	28.01	27.51	-5.95	12.919	143.651
28.12	75.73502	-0.11	28.01	28.01	27.47	-5.91	12.919	143.651
28.08	75.73907	-0.07	28.02	28.02	27.5	-4.79	12.919	143.651
28.06	75.74313	-0.05	28.01	28.01	27.5	5.31	12.919	143.651
27.91	75.75182	0.1	28.01	28.01	27.07	23.92	12.919	143.651
27.89	75.75586	0.12	28.02	28.01	26.54	22.15	12.919	143.651
27.9	75.75991	0.11	28.01	28.01	26.87	19.27	12.919	143.65
28.09	75.76396	-0.08	28.01	28.01	27.34	2.07	12.919	143.65
28.06	75.77265	-0.06	28.01	28.01	27.26	-2.67	12.919	143.651
28.01	75.77669	-0.01	28.01	28.01	27.25	10.54	12.919	143.651
27.94	75.78074	0.06	28.01	28.01	27.33	19.85	12.919	143.651
27.98	75.78479	0.02	28.01	28.01	27.34	11.16	12.919	143.651
28.14	75.79348	-0.13	28.01	28.01	27.37	-0.23	12.919	143.651
28.01	75.79752	0	28.01	28.01	27.42	-4.06	12.919	143.651
28.02	75.80157	-0.02	28	28	27.47	-4.77	12.919	143.651
28	75.80563	0	28	28	27.43	-3.81	12.919	143.651
28.01	75.81432	-0.01	28	28	27.39	-2.37	12.918	143.651
27.97	75.81836	0.03	28	28	27.39	-5.24	12.917	143.651
27.95	75.82241	0.05	28	28	27.46	-3.14	12.916	143.65
